id,type,severity,label,detail,kpi_actual,kpi_target,kpi_unit,kpi_metric,agentId,agentName,department,targetDepts,crossDept,timestamp
agent-baton-heat,agent_raised,critical,Baton Rouge Heat Exchanger,Predictive maintenance model flagged heat exchanger degradation at Baton Rouge — estimated 30 days to failure.,,,,, maint-pred,Maintenance Agent,VP Maintenance,"vp-maint,vp-ops",true,2026-02-24T05:30:00Z
agent-series-c,agent_raised,warning,Series C Pace Behind Schedule,At current rate of $19.4M committed (12%) Series C will take 14 months to close vs 8-month target.,12,50,%,Series C Committed,strat-ir,Investor Relations Agent,VP Strategy,"vp-strategy,vp-finance",true,2026-02-24T08:00:00Z
agent-portland-slip,agent_raised,warning,Portland OR 3-Day Schedule Slip,Steel delivery delay causing 3-day slip on Portland OR construction schedule.,,,,, coo-constr,Construction Oversight Agent,COO,"vp-project,vp-logistics",true,2026-02-23T14:20:00Z
agent-insurance-renewal,agent_raised,warning,Insurance Renewal — 30 Days,Multi-site coverage policy expires in 30 days. Premium expected to increase 12-15%.,,,,,legal-contract,Contract Agent,VP Legal,"vp-legal,vp-finance",true,2026-02-24T09:00:00Z
agent-permit-renewal,agent_raised,info,2 Permits Due for Renewal,Environmental operating permits for Noble OK and Richmond VA due for renewal within 60 days.,,,,,hse-permit,Permitting Agent,VP Risk,"vp-hse,vp-ops",true,2026-02-23T16:00:00Z
agent-columbus-feedstock,agent_raised,warning,Columbus OH Feedstock Supply Tight,Columbus OH feedstock buffer down to 4 days vs 10-day target.,4,10,days,Inventory Buffer,log-sc,Supply Chain Agent,VP Logistics,"vp-logistics,vp-ops",true,2026-02-24T07:00:00Z
agent-customer-concentration,agent_raised,warning,Customer Concentration Risk,Top 3 customers account for 65% of revenue.,65,40,%,Top 3 Revenue Share,mktg-sales,Sales Agent,VP Marketing,"vp-marketing,vp-strategy,vp-finance",true,2026-02-24T10:00:00Z
agent-richmond-bearing,agent_raised,info,Richmond Processor #2 Bearing Wear,Vibration analysis detected early bearing wear on Richmond Processor #2.,,,,,maint-pred,Maintenance Agent,VP Maintenance,"vp-maint,vp-ops",true,2026-02-24T05:45:00Z
agent-training-overdue,agent_raised,info,7 Training Certifications Overdue,7 employees across 3 sites have overdue safety training certifications.,93,100,%,Training Completion,ppl-train,Training Agent,VP People,"vp-people,vp-hse",true,2026-02-24T08:30:00Z
agent-carbon-price-up,agent_raised,info,Carbon Black Price +2.1%,N330 carbon black spot price increased 2.1% this week to $680/T.,,,,,mktg-price,Pricing Agent,VP Marketing,"vp-marketing,vp-finance",true,2026-02-24T09:30:00Z
