id,task,executive,objectiveTag,due,status,priority,cycle,source,completedDate,daysToClose
ft-001,Call Meridian Capital re: due diligence status,CEO,obj-series-c,2026-02-25,overdue,high,24h,Exec Standup — Feb 24,,
ft-002,Review updated investor deck with Q4 actuals,CEO,obj-series-c,2026-02-26,open,high,24h,Exec Standup — Feb 24,,
ft-003,Approve term sheet redlines from legal,CEO,obj-series-c,2026-02-27,open,high,3d,IR Prep — Feb 21,,
ft-004,Prep talking points for Friday board briefing,CEO,obj-series-c,2026-02-28,open,medium,3d,Exec Standup — Feb 24,,
ft-005,Review Baton Rouge recovery plan from COO,CEO,obj-ops-excellence,2026-02-26,open,medium,24h,Exec Standup — Feb 24,,
ft-006,Approve carbon black pricing lock-in recommendation,CEO,obj-ops-excellence,2026-02-27,open,medium,3d,Finance Committee — Feb 20,,
ft-007,Review WSP pre-FEED milestone report,CEO,obj-growth-pipeline,2026-02-28,open,medium,1w,Engineering Sync — Feb 19,,
ft-008,Sign off on VP People's hiring plan,CEO,,2026-02-25,overdue,low,24h,1:1 with VP People — Feb 24,,
ft-009,Review Q1 board agenda draft,CEO,,2026-02-28,open,medium,1w,Board Prep — Feb 20,,
ft-010,Approve data room refresh for Series C,CEO,obj-series-c,2026-02-22,done,high,24h,IR Prep — Feb 21,2026-02-22,1
ft-011,Sign customer diversification strategy memo,CEO,obj-ops-excellence,2026-02-21,done,medium,3d,Exec Standup — Feb 18,2026-02-21,3
ft-012,Confirm coal project board presentation date,CEO,obj-growth-pipeline,2026-02-20,done,low,24h,Engineering Sync — Feb 19,2026-02-20,1
ft-013,Approve SENS Master v4 rollout plan,CEO,,2026-02-19,done,medium,3d,Admin Review — Feb 17,2026-02-19,2
ft-020,Prepare operational metrics summary for investor deck,COO,obj-series-c,2026-02-26,open,high,24h,Exec Standup — Feb 24,,
ft-021,Draft site visit agenda for March 5 investor tour,COO,obj-series-c,2026-02-28,open,medium,3d,IR Prep — Feb 21,,
ft-022,Approve Baton Rouge turnaround scope for Mar 15,COO,obj-ops-excellence,2026-02-25,overdue,high,24h,Maintenance Review — Feb 24,,
ft-023,Review Columbus OH feedstock alternate supplier proposal,COO,obj-ops-excellence,2026-02-26,open,high,24h,Exec Standup — Feb 24,,
ft-024,Sign off on Tucson benchmark operating procedures,COO,obj-ops-excellence,2026-02-27,open,medium,3d,Ops Review — Feb 21,,
ft-025,Review work order backlog reduction plan,COO,obj-ops-excellence,2026-02-28,open,medium,1w,Maintenance Review — Feb 24,,
ft-026,Review Portland OR schedule recovery plan from Brown & Root,COO,obj-growth-pipeline,2026-02-26,open,high,24h,Portland Review — Feb 24,,
ft-027,Approve Noble B Phase 2 commissioning checklist,COO,obj-growth-pipeline,2026-02-28,open,medium,3d,Engineering Sync — Feb 19,,
ft-028,Confirm contractor mobilization for Noble turnaround,COO,obj-growth-pipeline,2026-03-01,open,high,1w,Maintenance Review — Feb 24,,
ft-029,Review safety incident report from Richmond,COO,,2026-02-25,overdue,high,24h,HSE Escalation — Feb 24,,
ft-030,Approve compressor PO for Baton Rouge,COO,obj-ops-excellence,2026-02-22,done,high,24h,Exec Standup — Feb 18,2026-02-22,1
